kepoi_name,koi_period,koi_prad,koi_teq,koi_disposition
K07865.01,0.51806,3.747e-06,-3.747e-06,CANDIDATE
K07866.01,0.518072,3.044e-06,-3.044e-06,FALSE POSITIVE
K07218.01,0.518118,5.324e-05,-5.324e-05,FALSE POSITIVE
K01013.01,0.518727,2.46e-07,-2.46e-07,FALSE POSITIVE
K04406.01,0.519438,1.762e-06,-1.762e-06,FALSE POSITIVE
K01497.01,0.520223,1.064e-06,-1.064e-06,FALSE POSITIVE
K08065.01,0.520227,4.86e-07,-4.86e-07,FALSE POSITIVE
K01324.01,0.522059,2.01e-07,-2.01e-07,FALSE POSITIVE
K01313.01,0.522458,4.4e-07,-4.4e-07,FALSE POSITIVE
K04973.01,0.523494,8.78e-07,-8.78e-07,FALSE POSITIVE
K03178.01,0.523629,1.478e-06,-1.478e-06,FALSE POSITIVE
K05015.01,0.52363,2.5e-08,-2.5e-08,FALSE POSITIVE
K05016.01,0.523632,3.622e-06,-3.622e-06,CANDIDATE
K04002.01,0.524176,8.2e-07,-8.2e-07,CANDIDATE
K01044.01,0.525154,3.08e-07,-3.08e-07,FALSE POSITIVE
K01049.01,0.525426,4.26e-07,-4.26e-07,FALSE POSITIVE
K02737.01,0.526615,6.29e-07,-6.29e-07,FALSE POSITIVE
K02783.01,0.526888,1.146e-06,-1.146e-06,CANDIDATE
K06635.01,0.527401,1.016e-05,-1.016e-05,CANDIDATE
K08056.01,0.527673,2.912e-06,-2.912e-06,FALSE POSITIVE
K07457.01,0.527673,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K07458.01,0.527678,4.8e-08,-4.8e-08,FALSE POSITIVE
K07456.01,0.527679,2.463e-06,-2.463e-06,FALSE POSITIVE
K07985.01,0.527699,1.16e-07,-1.16e-07,FALSE POSITIVE
K01093.01,0.528755,7.6e-07,-7.6e-07,FALSE POSITIVE
K06770.01,0.528808,1.906e-06,-1.906e-06,FALSE POSITIVE
K01038.01,0.5303,2.54e-07,-2.54e-07,FALSE POSITIVE
K06527.01,0.5308,4.063e-06,-4.063e-06,FALSE POSITIVE
K04206.01,0.530959,2.465e-06,-2.465e-06,FALSE POSITIVE
K01272.01,0.530967,4.65e-07,-4.65e-07,FALSE POSITIVE
K07054.01,0.530967,8.2e-08,-8.2e-08,FALSE POSITIVE
K04254.01,0.530968,1.921e-06,-1.921e-06,FALSE POSITIVE
K07053.01,0.530972,4.988e-06,-4.988e-06,FALSE POSITIVE
K04089.01,0.531107,1.69e-07,-1.69e-07,FALSE POSITIVE
K02646.01,0.532086,6.78e-07,-6.78e-07,FALSE POSITIVE
K03857.01,0.532088,6.6e-08,-6.6e-08,FALSE POSITIVE
K07908.01,0.532493,2.601e-06,-2.601e-06,FALSE POSITIVE
K07571.01,0.532854,2.903e-06,-2.903e-06,FALSE POSITIVE
K05427.01,0.533001,7.9e-08,-7.9e-08,FALSE POSITIVE
K00971.01,0.533059,3.5205e-05,-3.5205e-05,CANDIDATE
K06197.01,0.533458,3.5205e-05,-3.5205e-05,FALSE POSITIVE
K07401.01,0.533628,7.449e-06,-7.449e-06,FALSE POSITIVE
K05038.01,0.534109,6.53e-07,-6.53e-07,FALSE POSITIVE
K06839.01,0.534829,5.298e-05,-5.298e-05,FALSE POSITIVE
K02876.02,0.535225,1.251e-06,-1.251e-06,FALSE POSITIVE
K07379.01,0.535493,4.226e-06,-4.226e-06,FALSE POSITIVE
K04093.01,0.535579,7.92e-07,-7.92e-07,FALSE POSITIVE
K03059.01,0.536335,8.81e-07,-8.81e-07,FALSE POSITIVE
K04168.01,0.536544,2.321e-06,-2.321e-06,FALSE POSITIVE
