rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
5662,3345675,K01772.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,120.003,0.78,3.3803,39596,15.08,240,0.78
6597,9026007,K05602.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.313,1,0,0,0,403.163,0.02,5.735,681.1,2.49,240,0.79
4808,5384713,K03444.02,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,60.3267,0.974,1.6864,3146.7,4.98,240,0.79
6382,7731281,K05416.01,Kepler-1628 b,CONFIRMED,FALSE POSITIVE,0,1,0,0,0,76.3779,0.577,4.809,11004,6.28,240,0.78
8663,4470888,K05065.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,523.369,1.0046,1.007,9918,17.45,240,0.78
6767,8482513,K05522.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,356.991,0.2437,17.03,747.8,2.47,240,0.78
2361,12416987,K02933.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,119.083,1.257,2.558,2951,22.19,240,0.78
9152,3629119,K08242.01,Unknown,CANDIDATE,CANDIDATE,0.175,0,0,0,0,331.555,0.001,5.35,288.7,1.36,240,0.78
9222,10604335,K01298.02,Kepler-283 c,CONFIRMED,FALSE POSITIVE,0,0,1,0,0,92.7496,0.019,5.506,1105.1,1.87,240,0.78
6733,7416646,K05389.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,365.74,0.6206,1.218,300.7,1.73,241,0.8
3694,11415243,K04036.01,Kepler-1544 b,CONFIRMED,CANDIDATE,0.965,0,0,0,0,168.811,0.083,6.582,614.4,1.69,241,0.8
6514,9659022,K05702.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,511.882,0.5102,4.822,610,2.56,241,0.79
