rowid,kepoi_name,koi_period,koi_prad,koi_teq
5284,K03857.01,0.532088,6.6e-08,-6.6e-08
8952,K07908.01,0.532493,2.601e-06,-2.601e-06
8310,K07571.01,0.532854,2.903e-06,-2.903e-06
6415,K05427.01,0.533001,7.9e-08,-7.9e-08
327,K00971.01,0.533059,3.5205e-05,-3.5205e-05
6984,K06197.01,0.533458,3.5205e-05,-3.5205e-05
8183,K07401.01,0.533628,7.449e-06,-7.449e-06
8619,K05038.01,0.534109,6.53e-07,-6.53e-07
8538,K06839.01,0.534829,5.298e-05,-5.298e-05
3196,K02876.02,0.535225,1.251e-06,-1.251e-06
8478,K07379.01,0.535493,4.226e-06,-4.226e-06
3643,K04093.01,0.535579,7.92e-07,-7.92e-07
2827,K03059.01,0.536335,8.81e-07,-8.81e-07
3676,K04168.01,0.536544,2.321e-06,-2.321e-06
6370,K05667.01,0.536552,2.698e-06,-2.698e-06
8564,K07189.01,0.53665,6.267e-06,-6.267e-06
2792,K03132.01,0.53665,2.228e-06,-2.228e-06
8337,K07603.01,0.53665,7.98e-06,-7.98e-06
3983,K04182.01,0.536651,5.75e-07,-5.75e-07
9313,K07944.01,0.536654,2.764e-06,-2.764e-06
7529,K06785.01,0.53687,2.694e-06,-2.694e-06
9398,K04165.01,0.53711,8.79e-07,-8.79e-07
5588,K02796.01,0.537409,1.333e-06,-1.333e-06
5874,K03024.01,0.537839,4.016e-06,-4.016e-06
4797,K01875.02,0.538354,6.75e-07,-6.75e-07
3664,K04162.01,0.539366,1.878e-06,-1.878e-06
7947,K07500.01,0.539445,7.5e-08,-7.5e-08
4063,K04199.01,0.539915,1.508e-06,-1.508e-06
7738,K06549.01,0.540246,0.0001018,-0.0001018
5500,K03972.01,0.54029,1.029e-06,-1.029e-06
8558,K06539.01,0.541396,2.168e-06,-2.168e-06
7652,K07067.01,0.541405,8.1e-08,-8.1e-08
8948,K07629.01,0.542123,2.229e-06,-2.229e-06
4129,K03164.01,0.542499,8.936e-06,-8.936e-06
4862,K07783.01,0.542636,1.569e-06,-1.569e-06
4636,K03219.01,0.544562,1.186e-06,-1.186e-06
5877,K03054.01,0.544963,1.825e-06,-1.825e-06
2909,K02999.01,0.545545,1.963e-06,-1.963e-06
5264,K03855.01,0.546248,2.5e-07,-2.5e-07
591,K01021.01,0.546249,8.73e-07,-8.73e-07
7683,K06540.01,0.55051,1.489e-06,-1.489e-06
7621,K06408.01,0.550538,3.5205e-05,-3.5205e-05
8644,K06987.01,0.552142,4.102e-06,-4.102e-06
5635,K03997.01,0.552834,8.08e-07,-8.08e-07
512,K01140.01,0.553262,9.3e-08,-9.3e-08
8943,K06328.01,0.555974,1.326e-06,-1.326e-06
2485,K02735.01,0.558841,7.91e-07,-7.91e-07
4600,K07707.01,0.559517,1.377e-06,-1.377e-06
9453,K08080.01,0.559644,1.31e-07,-1.31e-07
8432,K06495.01,0.561524,6.97e-06,-6.97e-06
8920,K06521.01,0.562006,7.204e-06,-7.204e-06
7062,K07874.01,0.562274,1.639e-06,-1.639e-06
8230,K07009.01,0.562499,3.85e-07,-3.85e-07
2860,K02986.01,0.562555,1.564e-06,-1.564e-06
3967,K04248.01,0.562564,2.232e-06,-2.232e-06
4156,K07692.01,0.562568,4.453e-06,-4.453e-06
6193,K05233.01,0.564934,2.47e-07,-2.47e-07
4912,K03616.01,0.564934,3.6e-08,-3.6e-08
8462,K07489.01,0.565713,2.319e-06,-2.319e-06
880,K01401.01,0.56669,1.515e-06,-1.515e-06
5735,K07814.01,0.566717,3.5205e-05,-3.5205e-05
9470,K07580.01,0.566764,1.779e-05,-1.779e-05
9341,K07813.01,0.566764,1.135e-05,-1.135e-05
5304,K07804.01,0.566769,6.334e-06,-6.334e-06
7693,K06806.01,0.56678,1.1e-05,-1.1e-05
7922,K06843.01,0.566781,6.531e-06,-6.531e-06
9385,K07823.01,0.566781,6.202e-06,-6.202e-06
9251,K07778.01,0.566782,3.029e-05,-3.029e-05
8313,K07575.01,0.566785,6.128e-06,-6.128e-06
8040,K06857.01,0.566786,4.835e-06,-4.835e-06
5613,K07830.01,0.566787,2.92e-06,-2.92e-06
7744,K06812.01,0.566787,6.607e-06,-6.607e-06
5787,K07816.01,0.56679,8.635e-06,-8.635e-06
8540,K06864.01,0.56679,7.124e-06,-7.124e-06
8803,K06825.01,0.56679,3.418e-06,-3.418e-06
7977,K06844.01,0.566792,4.145e-06,-4.145e-06
7804,K06824.01,0.566792,4.009e-06,-4.009e-06
5372,K07807.01,0.566793,9.9e-06,-9.9e-06
7694,K06808.01,0.566793,3.219e-06,-3.219e-06
8649,K07576.01,0.566793,7.891e-06,-7.891e-06
9299,K07806.01,0.566794,2.052e-06,-2.052e-06
8909,K07578.01,0.566794,1.998e-06,-1.998e-06
7858,K06828.01,0.566794,5.77e-06,-5.77e-06
7802,K06822.01,0.566795,5.426e-06,-5.426e-06
7691,K06804.01,0.566795,7.736e-06,-7.736e-06
3811,K04420.01,0.566795,4.498e-06,-4.498e-06
9384,K07822.01,0.566796,6.077e-06,-6.077e-06
7921,K06841.01,0.566796,5.428e-06,-5.428e-06
8908,K07574.01,0.566796,6.339e-06,-6.339e-06
